id,season,actual_harvest_date,recorded_at,total_picks,yield_first_pick,yield_final_pick,grade_fine_final,fine_pct_constant,first_note,last_note
4dcbbf4b-f798-4c71-8af0-a23de7337f31,2021-2022,2021-10-16,2026-02-19,52,2.58,134.37,9.49,7.06258838,Pick 1 - Oct 2021,Pick 52 - Jan 2026 (final)
3c08c98d-ee24-4864-91e9-c559263d0a86,2021-2022,2021-10-18,2026-02-19,52,2.03,105.35,15.92,15.11153299,Pick 1 - Oct 2021,Pick 52 - Jan 2026 (final)
356cee24-39b3-450d-b51c-fae092e22c8b,2021-2022,2021-10-18,2026-02-19,52,1.01,52.68,6.21,11.78815490,Pick 1 - Oct 2021,Pick 52 - Jan 2026 (final)
d1311ab8-aafa-43c1-a12c-a9f8db98034a,2021-2022,2021-10-21,2026-02-19,51,0.81,41.19,5.60,13.59553290,Pick 1 - Oct 2021,Pick 51 - Dec 2025 (final)
cfee9a61-ec1d-4cda-adac-9fe023e291a8,2021-2022,2021-10-24,2026-02-19,51,0.57,29.25,2.10,7.17948718,Pick 1 - Oct 2021,Pick 51 - Dec 2025 (final)
7133e5a3-c5a5-4f81-b1a8-84f887798329,2021-2022,2021-10-25,2026-02-19,51,1.30,66.20,8.81,13.30815710,Pick 1 - Oct 2021,Pick 51 - Dec 2025 (final)
85f2da67-79ef-4846-8211-5b6e18f1d09e,2021-2022,2021-10-27,2026-02-19,51,0.21,10.78,0.92,8.53432282,Pick 1 - Oct 2021,Pick 51 - Dec 2025 (final)
39bed61f-0f57-4932-acc9-91e66124b288,2021-2022,2021-11-01,2026-02-19,51,0.24,12.15,0.93,7.65432099,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
60afe2a2-afe3-436c-b1c8-9fe443889e25,2021-2022,2021-11-03,2026-02-19,51,0.12,6.00,0.36,6.00000000,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
d1c1aa4b-29d9-4e35-bd6c-11948014e8eb,2021-2022,2021-11-04,2026-02-19,51,0.43,21.75,2.03,9.33333333,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
83fc1448-91c7-4a9e-8ad1-d9edb85a6c45,2021-2022,2021-11-06,2026-02-19,51,2.92,149.14,16.94,11.35845514,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
6f168d56-eb60-4eca-8b7a-60ca94a66242,2021-2022,2021-11-11,2026-02-19,51,1.01,51.30,7.20,14.03508772,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
e58a5e1a-c2b7-49d8-8c3c-464c0a797f2c,2021-2022,2021-11-14,2026-02-19,51,0.11,5.55,0.52,9.36936937,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
171ab3f1-3afb-49d0-b194-e31236bd572b,2021-2022,2021-11-15,2026-02-19,51,0.60,30.45,1.55,5.09031199,Pick 1 - Nov 2021,Pick 51 - Jan 2026 (final)
bd8704cf-99ef-49e5-9c87-0f2cbe7f05da,2021-2022,2021-11-23,2026-02-19,50,0.19,9.73,0.70,7.19424460,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
12219f45-1168-42b6-ae64-f7da3e9863c1,2021-2022,2021-11-25,2026-02-19,50,1.57,78.47,5.26,6.70319867,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
377986b9-371b-42bc-84c0-6a029685062d,2021-2022,2021-11-25,2026-02-19,50,0.42,21.15,1.55,7.32860520,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
9cec3c49-77c0-43de-9fad-8d3132c3cd63,2021-2022,2021-11-27,2026-02-19,50,0.42,21.07,2.61,12.38728049,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
f1cc5f1e-ee98-4c45-b656-b8f7b3dd2d1c,2021-2022,2021-11-27,2026-02-19,50,1.17,58.47,9.48,16.21344279,Pick 1 - Nov 2021,Pick 50 - Dec 2025 (final)
